label,textual_description,enhanced_textual_description
angry," vattene, sitalmente stupido"," vattene, sitalmente stupido, sic dell'arte, sic dell'arte, sic dell'arte, sic dell'arte, sic dell'arte, sic dell'arte, sic dell'arte, sic dell'arte, sic dell'arte, sic dell'arte, sic dell'arte, sic dell'arte, sic dell'arte, sic dell'arte, sic dell'arte, sic dell'arte, sic dell'arte, sic dell'arte, sic dell'arte, sic dell'arte The person seems to be displaying 'surprise' emotion."
angry, sta millontando! Coyone!, sta millontando! Coyone! Coyone! Coyone! Coyone! Coyone! Coyone! Coyone! Coyone! Coyone! Coyone! Coyone! Coyone! Coyone! Coyone! Coyone! Coyone! Coyone! Coyone! Coyone! Coyone! Coyone! Coyone! Coyone! Coyone! Coyone! Coyone! Coyone! Coyone! Coyone! Coyone! Coyone! Coyone! Coyone! Coyone! Coyone! Coyone! Coyone! Coyone! Coyone! Coyone! Coyone! Coyone! Coyone! Coyone! Coyone! Coyone! Coyone! Coyone! The person seems to be displaying 'surprise' emotion.
angry, ma di cosa cazzo stai parlando," ma di cosa cazzo stai parlando.

The first time I saw the new version of the game, I was so excited. I was so excited to see the new version of the game, I was so excited to see the new version of the game, I was so excited to see the new version of the game, I was so excited to see the new version of the game, I was so excited to see the new version of the game, I was so excited to see the new version of the game, I was so excited to see the new version of the game, I was so excited to see the new version of the game, I was so excited to see the new version of the game, I was The person seems to be displaying 'happy' emotion."
disguise,思うと…あ、これから威呂にモーズを加えれば私は調べるから,"思うと…あ、これから威呂にモーズを加えれば私は調べるから、その言われている。

その言われている。

その言われている。

その言われている。

その言われている。

その言われている。

その言われている。

その� The person seems to be displaying 'angry' emotion."
disguise, Fucking bitches! Ich kann auch wut's dir vous weil?, Fucking bitches! Ich kann auch wut's dir vous weil? Ich kann auch wut's dir vous weil? Ich kann auch wut's dir vous weil? Ich kann auch wut's dir vous weil? Ich kann auch wut's dir vous weil? Ich kann auch wut's dir vous weil? Ich kann auch wut's dir vous weil? Ich kann auch wut's dir vous weil? Ich kann auch wut's dir vous weil? Ich kann auch wut's dir vous weil? Ich kann auch The person seems to be displaying 'angry' emotion.
disguise, Siatku Scholars Zorek," Siatku Scholars Zorek and Zarek.

The study was funded by the National Science Foundation (NSF) and the National Science Foundation (NSF) of Japan.

The authors declare no conflict of interest.

This article is a PNAS Direct Submission.

This article contains supporting information online at www.pnas.org/lookup/suppl/doi:10.1073/pnas.1401090112/-/DCSupplemental. The person seems to be displaying 'surprise' emotion."
disguise,h tt,"h tt.

The first thing I noticed was that the ""t"" in the name of the ""t"" was not the same as the ""t"" in the name of the ""t"" in the name of the ""t"" in the name of the ""t"" in the name of the ""t"" in the name of the ""t"" in the name of the ""t"" in the name of the ""t"" in the name of the ""t"" in the name of the ""t"" in the name of the ""t"" in the name of the ""t"" in the name of the ""t"" in the name of the ""t"" in the name of the ""t"" in the name of The person seems to be displaying 'surprise' emotion."
fear, Ja extr cadre nosa a部č关it, Ja extr cadre nosa a部č关it șăăăăăăăăăăăăăăăăăăăăăăăăăăăăăăăăăăăăăăăăăăăăăăăăăăăăăăăăăăăăăăăăăăă The person seems to be displaying 'surprise' emotion.
fear," No per fuore, non mi matolare!"," No per fuore, non mi matolare!

I am a man of the world, and I am a man of the world.

I am a man of the world, and I am a man of the world.

I am a man of the world, and I am a man of the world.

I am a man of the world, and I am a man of the world.

I am a man of the world, and I am a man of the world.

I am a man of the world, and I am a man of the world.

I am a man of the world, and I am a man of the world.

I am a man The person seems to be displaying 'sad' emotion."
fear,えええ…小超よく,えええ…小超よくおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおお The person seems to be displaying 'fear' emotion.
